id,status,name,name_en,province,amphoe,tambon,lat,lng,first_seen,sessions,photo,motdang_url
cm-osm-node-1886751148,confirmed,กินรมย์,Kin Rom,cm,เมืองเชียงใหม่,ท่าศาลา,18.7751739,99.0419218,2026-09-23,1,https://nanobotco.github.io/field/photos/2026-09-23/ride-20260923-aa1911-113-r.jpg,https://motdang.net/cm/p/kin-rom-1886751148.html
cm-osm-node-2099734363,confirmed,ปั้น เปา ซาลาเปา,Pun Pun Salapao,cm,เมืองเชียงใหม่,ศรีภูมิ,18.7896096,98.9784224,2026-09-23,1,https://nanobotco.github.io/field/photos/2026-09-23/ride-20260923-ab2131-299-r.jpg,https://motdang.net/cm/p/pun-pun-salapao-2099734363.html
cm-osm-node-2342018523,confirmed,7-Eleven,7-Eleven,cm,เมืองเชียงใหม่,ท่าศาลา,18.7682474,99.0404216,2026-09-23,1,https://nanobotco.github.io/field/photos/2026-09-23/ride-20260923-place-cm-osm-node-2342018523.jpg,https://motdang.net/cm/p/7-eleven-2342018523.html
cm-osm-node-2466325290,confirmed,7-Eleven,7-Eleven,cm,เมืองเชียงใหม่,ศรีภูมิ,18.7898363,98.9784463,2026-09-23,1,,https://motdang.net/cm/p/7-eleven-2466325290.html
cm-osm-node-2469653312,confirmed,แก้วปลาสด,Pla Pow Pak Sod,cm,เมืองเชียงใหม่,หนองหอย,18.7592469,99.0152222,2026-09-23,1,https://nanobotco.github.io/field/photos/2026-09-23/ride-20260923-ab2131-083-l.jpg,https://motdang.net/cm/p/pla-pow-pak-sod-2469653312.html
cm-osm-node-2532301610,confirmed,DHL,DHL,cm,เมืองเชียงใหม่,หายยา,18.7709879,98.9764534,2026-09-23,1,,https://motdang.net/cm/p/dhl-2532301610.html
cm-osm-node-2559859302,confirmed,McDonald's,McDonald's,cm,เมืองเชียงใหม่,ช้างคลาน,18.7651527,98.9916503,2026-09-23,1,,https://motdang.net/cm/p/mcdonald-s-2559859302.html
cm-osm-node-2610146257,confirmed,7-Eleven,7-Eleven,cm,เมืองเชียงใหม่,,18.7633403,99.0249941,2026-09-23,1,https://nanobotco.github.io/field/photos/2026-09-23/ride-20260923-ab2131-054-r.jpg,https://motdang.net/cm/p/7-eleven-2610146257.html
cm-osm-node-2638262573,confirmed,คณายา,Drug Store,cm,เมืองเชียงใหม่,ศรีภูมิ,18.7899184,98.9784388,2026-09-23,1,https://nanobotco.github.io/field/photos/2026-09-23/ride-20260923-ab2131-295-l.jpg,https://motdang.net/cm/p/drug-store-2638262573.html
cm-osm-node-3057397479,confirmed,ก๋วยเตี๋ยวมาลี,Malee Noodle,cm,เมืองเชียงใหม่,ศรีภูมิ,18.7900387,98.978457,2026-09-23,1,,https://motdang.net/cm/p/malee-noodle-3057397479.html
cm-osm-node-3067759753,confirmed,แดงกลอนประตู,Daeng Klon Pratu,cm,เมืองเชียงใหม่,ป่าแดด,18.7673424,98.9821527,2026-09-23,1,https://nanobotco.github.io/field/photos/2026-09-23/ride-20260923-ab2131-181-l.jpg,https://motdang.net/cm/p/daeng-klon-pratu-3067759753.html
cm-osm-node-3152329303,confirmed,เพชรดอยงาม,,cm,เมืองเชียงใหม่,ป่าแดด,18.7621059,98.9944439,2026-09-23,1,,https://motdang.net/cm/p/3152329303.html
cm-osm-node-3195212316,confirmed,Kreung jakdee,,cm,เมืองเชียงใหม่,พระสิงห์,18.7860004,98.9782325,2026-09-23,1,,https://motdang.net/cm/p/kreung-jakdee-3195212316.html
cm-osm-node-3331582463,confirmed,KFC,KFC,cm,เมืองเชียงใหม่,หนองหอย,18.7568396,99.0005641,2026-09-23,1,https://nanobotco.github.io/field/photos/2026-09-23/ride-20260923-ab2131-117-l.jpg,https://motdang.net/cm/p/kfc-3331582463.html
cm-osm-node-3385510725,confirmed,นุชนรี,,cm,เมืองเชียงใหม่,ศรีภูมิ,18.789551,98.979767,2026-09-23,1,,https://motdang.net/cm/p/3385510725.html
cm-osm-node-3810861068,confirmed,มิ่งมิตร,Mingmitr Coffee,cm,เมืองเชียงใหม่,ป่าแดด,18.7638928,98.992515,2026-09-23,1,,https://motdang.net/cm/p/mingmitr-coffee-3810861068.html
cm-osm-node-3877442977,confirmed,Inthanin Coffee,,cm,เมืองเชียงใหม่,สุเทพ,18.7771229,98.9766369,2026-09-23,1,,https://motdang.net/cm/p/inthanin-coffee-3877442977.html
cm-osm-node-4182515040,confirmed,Vegetarian Society,,cm,เมืองเชียงใหม่,สุเทพ,18.7767422,98.9765012,2026-09-23,1,,https://motdang.net/cm/p/vegetarian-society-4182515040.html
cm-osm-node-4225187389,confirmed,Nine coffee,,cm,เมืองเชียงใหม่,ศรีภูมิ,18.7899541,98.9815961,2026-09-23,1,,https://motdang.net/cm/p/nine-coffee-4225187389.html
cm-osm-node-4572686702,confirmed,Burger King,,cm,เมืองเชียงใหม่,หนองหอย,18.7628076,99.0230531,2026-09-23,1,https://nanobotco.github.io/field/photos/2026-09-23/ride-20260923-ab2131-058-r.jpg,https://motdang.net/cm/p/burger-king-4572686702.html
cm-osm-node-4679601294,confirmed,Krua Phech Doi Ngam,Krua Phech Doi Ngam,cm,เมืองเชียงใหม่,ป่าแดด,18.7620828,98.995209,2026-09-23,1,https://nanobotco.github.io/field/photos/2026-09-23/ride-20260923-ab2131-137-r.jpg,https://motdang.net/cm/p/krua-phech-doi-ngam-4679601294.html
cm-osm-node-4718001135,confirmed,Fuel Coffee,,cm,เมืองเชียงใหม่,ช้างคลาน,18.7680592,98.982757,2026-09-23,1,https://nanobotco.github.io/field/photos/2026-09-23/ride-20260923-ab2131-180-r.jpg,https://motdang.net/cm/p/fuel-coffee-4718001135.html
cm-osm-node-4813352421,confirmed,กระหรี่ปั๊ป,,cm,เมืองเชียงใหม่,ศรีภูมิ,18.7897596,98.9785993,2026-09-23,1,https://nanobotco.github.io/field/photos/2026-09-23/ride-20260923-ab2131-301-l.jpg,https://motdang.net/cm/p/4813352421.html
cm-osm-node-4848162061,confirmed,The August Hostel,,cm,เมืองเชียงใหม่,ศรีภูมิ,18.789329,98.9826214,2026-09-23,1,https://nanobotco.github.io/field/photos/2026-09-23/ride-20260923-ab2131-330-f.jpg,https://motdang.net/cm/p/the-august-hostel-4848162061.html
cm-osm-node-5033621345,confirmed,Airport Resident 2,Airport Resident 2,cm,เมืองเชียงใหม่,หายยา,18.7739827,98.9767018,2026-09-23,1,,https://motdang.net/cm/p/airport-resident-2-5033621345.html
cm-osm-node-5482188468,confirmed,7-Eleven,,cm,เมืองเชียงใหม่,ป่าแดด,18.7616347,98.9957938,2026-09-23,1,,https://motdang.net/cm/p/7-eleven-5482188468.html
cm-osm-node-5859319101,confirmed,EM16,,cm,เมืองเชียงใหม่,ศรีภูมิ,18.7912626,98.9785257,2026-09-23,1,,https://motdang.net/cm/p/em16-5859319101.html
